iter	Passed	Remaining
809	988	231
810	989	230
811	990	229
812	990	227
813	991	226
814	992	225
815	994	224
816	995	222
817	996	221
818	996	220
819	997	218
820	998	217
821	999	216
822	999	215
823	1000	213
824	1001	212
825	1001	211
826	1002	209
827	1003	208
828	1003	207
829	1004	205
830	1005	204
831	1005	203
832	1007	201
833	1009	200
834	1009	199
835	1010	198
836	1011	196
837	1011	195
838	1012	194
839	1013	192
840	1013	191
841	1014	190
842	1015	189
843	1015	187
844	1016	186
845	1017	185
846	1017	183
847	1018	182
848	1019	181
849	1019	179
850	1020	178
851	1022	177
852	1023	176
853	1023	175
854	1024	173
855	1025	172
856	1025	171
857	1026	169
858	1026	168
859	1027	167
860	1028	166
861	1028	164
862	1029	163
863	1030	162
864	1031	160
865	1031	159
866	1032	158
867	1033	157
868	1033	155
869	1034	154
870	1035	153
871	1036	152
872	1037	150
873	1038	149
874	1039	148
875	1039	147
876	1040	145
877	1041	144
878	1041	143
879	1042	142
880	1043	140
881	1043	139
882	1044	138
883	1045	137
884	1046	135
885	1046	134
886	1047	133
887	1048	132
888	1048	130
889	1049	129
890	1050	128
891	1050	127
892	1052	126
893	1053	124
894	1053	123
895	1054	122
896	1055	121
897	1055	119
898	1056	118
899	1057	117
900	1058	116
901	1058	115
902	1059	113
903	1060	112
904	1060	111
905	1061	110
906	1062	108
907	1063	107
908	1064	106
909	1065	105
910	1065	104
911	1067	102
912	1067	101
913	1068	100
914	1069	99
915	1069	98
916	1070	96
917	1071	95
918	1071	94
919	1072	93
920	1073	92
921	1074	90
922	1074	89
923	1075	88
924	1076	87
925	1076	86
926	1077	84
927	1078	83
928	1078	82
929	1079	81
930	1080	80
931	1081	78
932	1082	77
933	1083	76
934	1084	75
935	1085	74
936	1085	73
937	1086	71
938	1087	70
939	1088	69
940	1088	68
941	1089	67
942	1090	65
943	1090	64
944	1091	63
945	1092	62
946	1092	61
947	1093	59
948	1094	58
949	1094	57
950	1096	56
951	1097	55
952	1098	54
953	1098	52
954	1099	51
955	1100	50
956	1101	49
957	1101	48
958	1102	47
959	1103	45
960	1104	44
961	1104	43
962	1105	42
963	1106	41
964	1106	40
965	1107	38
966	1108	37
967	1108	36
968	1109	35
969	1110	34
970	1112	33
971	1112	32
972	1113	30
973	1114	29
974	1115	28
975	1115	27
976	1116	26
977	1117	25
978	1118	23
979	1118	22
980	1119	21
981	1120	20
982	1120	19
983	1121	18
984	1122	17
985	1123	15
986	1123	14
987	1124	13
988	1125	12
989	1126	11
990	1127	10
991	1128	9
992	1129	7
993	1129	6
994	1130	5
995	1131	4
996	1132	3
997	1132	2
998	1133	1
999	1134	0
